what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1455937369467
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1455937369467
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1455937369541
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1455937369541
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1455937369541
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1455937369541
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1455937369585
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1455937369653
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1455937369805
os,sysinfo,,,"win32",1455937369809
arch,sysinfo,,,"x86_64",1455937369809
ws,sysinfo,,,"win32",1455937369809
locale,sysinfo,,,"en_US",1455937369809
processors,sysinfo,,,"4",1455937369809
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455937369809
java.runtime.version,sysinfo,,,"1.7.0_55-b13",1455937369809
java.specification.name,sysinfo,,,"Java Platform API Specification",1455937369809
java.specification.vendor,sysinfo,,,"Oracle Corporation",1455937369809
java.specification.version,sysinfo,,,"1.7",1455937369809
java.vendor,sysinfo,,,"Oracle Corporation",1455937369809
java.version,sysinfo,,,"1.7.0_55",1455937369809
java.vm.info,sysinfo,,,"mixed mode",1455937369809
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455937369809
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455937369809
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455937369809
java.vm.specification.version,sysinfo,,,"1.7",1455937369809
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455937369809
java.vm.version,sysinfo,,,"24.55-b03",1455937369809
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1455937370015
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1455937370239
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1455937370243
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1455937370303
